"","unique.ID","birds","plot"
"564","207-2014-155",1,"East Bogs"
"565","207-2011-171",1,"East Bogs"
"566","207-2011-187",1,"East Bogs"
"567","207-2012-182",0,"East Bogs"
"568","207-2013-186",1,"East Bogs"
"569","207-2013-170",0,"East Bogs"
"570","207-2012-168",2,"East Bogs"
"571","207-2014-174",0,"East Bogs"
"572","207-2014-175",0,"East Bogs"
"573","208-2012-152",0,"East Bogs"
"574","208-2013-154",1,"East Bogs"
"575","208-2011-187",2,"East Bogs"
"576","208-2012-182",1,"East Bogs"
"577","208-2014-192",1,"East Bogs"
"578","208-2013-186",0,"East Bogs"
"579","208-2011-171",0,"East Bogs"
"580","208-2013-170",0,"East Bogs"
"581","208-2014-155",0,"East Bogs"
"582","208-2011-153",1,"East Bogs"
"583","208-2014-174",0,"East Bogs"
"584","208-2012-168",1,"East Bogs"
"585","208-2014-175",1,"East Bogs"
"586","209-2011-153",0,"East Bogs"
"587","209-2014-174",0,"East Bogs"
"588","209-2012-152",1,"East Bogs"
"589","209-2013-186",0,"East Bogs"
"590","209-2013-154",1,"East Bogs"
"591","209-2014-175",1,"East Bogs"
"592","209-2011-187",0,"East Bogs"
"593","209-2012-182",0,"East Bogs"
"594","209-2013-170",0,"East Bogs"
"595","209-2011-171",1,"East Bogs"
"596","209-2014-192",1,"East Bogs"
"597","209-2014-155",2,"East Bogs"
"598","209-2012-168",0,"East Bogs"
"599","210-2014-192",4,"East Bogs"
"600","210-2013-154",1,"East Bogs"
"601","210-2013-170",0,"East Bogs"
"602","210-2011-171",0,"East Bogs"
"603","210-2012-168",0,"East Bogs"
"604","210-2012-182",2,"East Bogs"
"605","210-2012-152",0,"East Bogs"
"606","210-2014-175",0,"East Bogs"
"607","210-2014-155",3,"East Bogs"
"608","210-2013-186",0,"East Bogs"
"609","210-2011-153",0,"East Bogs"
"610","210-2011-187",0,"East Bogs"
"611","210-2014-174",2,"East Bogs"
"612","211-2012-152",0,"East Bogs"
"613","211-2011-153",2,"East Bogs"
"614","211-2013-186",1,"East Bogs"
"615","211-2012-182",1,"East Bogs"
"616","211-2014-192",4,"East Bogs"
"617","211-2012-168",1,"East Bogs"
"618","211-2014-175",2,"East Bogs"
"619","211-2011-187",1,"East Bogs"
"620","211-2011-171",0,"East Bogs"
"621","211-2014-174",1,"East Bogs"
"622","211-2013-170",1,"East Bogs"
"623","211-2014-155",3,"East Bogs"
"624","211-2013-154",1,"East Bogs"
"625","212-2011-170",0,"East Bogs"
"626","212-2011-187",1,"East Bogs"
"627","212-2012-182",4,"East Bogs"
"628","212-2014-155",1,"East Bogs"
"629","212-2012-152",1,"East Bogs"
"630","212-2013-170",0,"East Bogs"
"631","212-2012-168",1,"East Bogs"
"632","212-2013-186",0,"East Bogs"
"633","212-2014-192",3,"East Bogs"
"634","212-2014-174",2,"East Bogs"
"635","212-2014-175",1,"East Bogs"
"636","212-2011-153",0,"East Bogs"
"637","212-2013-154",1,"East Bogs"
"638","332-2011-173",3,"First Creek"
"639","332-2014-171",0,"First Creek"
"640","332-2013-182",1,"First Creek"
"641","332-2012-166",0,"First Creek"
"642","332-2014-172",2,"First Creek"
"643","332-2014-153",0,"First Creek"
"644","332-2014-190",2,"First Creek"
"645","332-2013-167",0,"First Creek"
"646","332-2011-191",0,"First Creek"
"647","332-2011-154",1,"First Creek"
"648","332-2012-151",1,"First Creek"
"649","332-2012-181",0,"First Creek"
