"","X.1","X","point","date","year","observer","time","temp","wind","cloud","julian"
"1738",5539,10402,600,"2014-06-17",2014,"JJV",540,73,2,20,168
"1739",5540,10404,600,"2014-06-02",2014,"MAV",387,72,2,100,153
"1740",5541,10405,600,"2012-05-31",2012,"BSS",379,58,1,0,152
"1741",5542,10409,600,"2014-06-19",2014,"MAV",513,72,2,30,170
"1742",5543,10410,600,"2014-07-04",2014,"MAV",516,51,2,0,185
"1743",5544,10411,600,"2013-05-30",2013,"JDS",398,67,1,10,150
"1744",5545,10412,600,"2011-07-06",2011,"CLS",413,75,0,10,187
"1745",5546,10415,600,"2013-06-17",2013,"RRU",531,73,0,0,168
"1746",5547,10416,600,"2012-06-16",2012,"MAV",513,65,1,0,168
"1747",5548,10418,601,"2011-06-13",2011,"CAB",418,63,0,25,164
"1748",5549,10419,601,"2012-07-02",2012,"CAB",538,74,0,0,184
"1749",5550,10421,601,"2011-05-30",2011,"SLD",530,72,0,0,150
"1750",5551,10422,601,"2013-07-01",2013,"LMG",411,70,1,100,182
"1751",5552,10424,601,"2014-06-17",2014,"JJV",518,72,0,10,168
"1752",5553,10425,601,"2014-06-02",2014,"MAV",405,72,2,100,153
"1753",5554,10427,601,"2012-05-31",2012,"BSS",397,59,0,0,152
"1754",5555,10430,601,"2014-06-19",2014,"MAV",531,72,2,20,170
"1755",5556,10432,601,"2014-07-04",2014,"MAV",539,51,2,0,185
"1756",5557,10433,601,"2013-05-30",2013,"JDS",414,69,1,10,150
"1757",5558,10435,601,"2011-07-06",2011,"CLS",546,80,1,10,187
"1758",5559,10438,601,"2013-06-17",2013,"RRU",512,72,0,30,168
"1759",5560,10440,601,"2012-06-16",2012,"MAV",495,64,1,0,168
"1760",5561,10441,602,"2011-05-30",2011,"CAB",510,75,0,0,150
"1761",5562,10442,602,"2012-07-02",2012,"CAB",519,72,0,0,184
"1762",5563,10443,602,"2013-07-01",2013,"LMG",391,69,1,100,182
"1763",5564,10444,602,"2011-07-06",2011,"SLD",530,77,0,0,187
"1764",5565,10445,602,"2014-06-17",2014,"JJV",500,71,0,10,168
"1765",5566,10446,602,"2014-06-02",2014,"MAV",424,72,2,100,153
"1766",5567,10447,602,"2012-05-31",2012,"BSS",413,59,1,0,152
"1767",5568,10449,602,"2014-06-19",2014,"MAV",548,73,3,20,170
"1768",5569,10450,602,"2014-07-04",2014,"MAV",557,52,2,0,185
"1769",5570,10451,602,"2013-05-30",2013,"JDS",430,69,2,10,150
"1770",5571,10453,602,"2011-06-13",2011,"CLS",408,70,1,50,164
"1771",5572,10455,602,"2013-06-17",2013,"RRU",490,72,0,30,168
"1772",5573,10456,602,"2012-06-16",2012,"MAV",475,63,1,0,168
"1773",5574,10457,603,"2011-05-30",2011,"CAB",502,74,0,0,150
"1774",5575,10458,603,"2012-07-02",2012,"CAB",481,70,1,0,184
"1775",5576,10459,603,"2013-07-01",2013,"LMG",479,73,1,100,182
"1776",5577,10461,603,"2011-07-06",2011,"SLD",512,70,0,0,187
"1777",5578,10463,603,"2014-06-17",2014,"JJV",444,69,0,20,168
"1778",5579,10466,603,"2014-06-02",2014,"MAV",484,73,3,100,153
"1779",5580,10468,603,"2012-05-31",2012,"BSS",508,64,2,0,152
"1780",5581,10472,603,"2014-06-19",2014,"MAV",439,71,0,40,170
"1781",5582,10474,603,"2014-07-04",2014,"MAV",440,50,0,0,185
"1782",5583,10476,603,"2013-05-30",2013,"JDS",520,71,3,10,150
"1783",5584,10479,603,"2011-06-13",2011,"CLS",428,70,2,50,164
"1784",5585,10481,603,"2013-06-17",2013,"RRU",394,67,0,100,168
"1785",5586,10483,603,"2012-06-16",2012,"MAV",381,60,1,0,168
"1786",5587,10485,604,"2011-06-13",2011,"CAB",439,63,0,25,164
"1787",5588,10486,604,"2012-07-02",2012,"CAB",392,67,0,20,184
"1788",5589,10487,604,"2011-05-30",2011,"SLD",510,72,0,0,150
"1789",5590,10488,604,"2013-07-01",2013,"LMG",461,71,1,100,182
"1790",5591,10491,604,"2014-06-17",2014,"JJV",424,69,0,40,168
"1791",5592,10495,604,"2014-06-02",2014,"MAV",505,73,3,100,153
"1792",5593,10497,604,"2012-05-31",2012,"BSS",526,64,1,0,152
"1793",5594,10500,604,"2014-06-19",2014,"MAV",460,71,0,40,170
"1794",5595,10501,604,"2014-07-04",2014,"MAV",459,50,1,0,185
"1795",5596,10503,604,"2013-05-30",2013,"JDS",540,72,3,10,150
"1796",5597,10506,604,"2011-07-06",2011,"CLS",528,75,1,10,187
"1797",5598,10509,604,"2013-06-17",2013,"RRU",374,66,0,100,168
"1798",5599,10511,604,"2012-06-16",2012,"MAV",361,59,0,0,168
"1799",5600,10513,605,"2011-06-13",2011,"CAB",538,64,0,75,164
"1800",5601,10514,605,"2012-07-02",2012,"CAB",365,66,0,20,184
"1801",5602,10516,605,"2011-05-30",2011,"SLD",420,70,0,0,150
"1802",5603,10518,605,"2013-07-01",2013,"LMG",446,72,0,90,182
"1803",5604,10521,605,"2014-06-17",2014,"JJV",407,69,1,40,168
"1804",5605,10524,605,"2014-06-02",2014,"MAV",526,73,3,100,153
"1805",5606,10526,605,"2012-05-31",2012,"BSS",359,57,1,10,152
"1806",5607,10528,605,"2014-06-19",2014,"MAV",496,72,2,30,170
"1807",5608,10530,605,"2014-07-04",2014,"MAV",496,50,0,0,185
"1808",5609,10533,605,"2013-05-30",2013,"JDS",380,67,1,20,150
"1809",5610,10535,605,"2011-07-06",2011,"CLS",436,72,1,10,187
"1810",5611,10538,605,"2013-06-17",2013,"RRU",548,75,0,0,168
"1811",5612,10539,605,"2012-06-16",2012,"MAV",532,65,1,0,168
"1812",5613,10540,606,"2012-05-31",2012,"CAB",362,56,0,0,152
"1813",5614,10543,606,"2011-06-13",2011,"CAB",521,64,0,75,164
"1814",5615,10544,606,"2011-05-30",2011,"SLD",440,70,0,0,150
"1815",5616,10546,606,"2012-07-02",2012,"AEB",368,68,1,60,184
"1816",5617,10549,606,"2014-06-17",2014,"JJV",389,69,1,40,168
"1817",5618,10553,606,"2014-06-02",2014,"MAV",566,73,3,100,153
"1818",5619,10555,606,"2013-05-30",2013,"CLL",381,71,0,20,150
"1819",5620,10557,606,"2014-06-19",2014,"MAV",481,71,0,40,170
"1820",5621,10559,606,"2012-06-16",2012,"BSS",502,72,1,0,168
"1821",5622,10561,606,"2014-07-04",2014,"MAV",478,50,1,0,185
"1822",5623,10564,606,"2013-06-17",2013,"JDS",514,68,0,10,168
"1823",5624,10567,606,"2011-07-06",2011,"CLS",454,75,1,10,187
"1824",5625,10569,606,"2013-07-01",2013,"RRU",444,67,2,100,182
"1825",5626,10572,607,"2012-05-31",2012,"CAB",528,60,2,0,152
"1826",5627,10574,607,"2011-06-13",2011,"CAB",462,63,0,25,164
"1827",5628,10575,607,"2011-05-30",2011,"SLD",486,70,0,0,150
"1828",5629,10576,607,"2012-07-02",2012,"AEB",538,73,1,10,184
"1829",5630,10578,607,"2014-06-19",2014,"JJV",454,73,0,40,170
"1830",5631,10581,607,"2014-07-04",2014,"JJV",453,54,1,0,185
"1831",5632,10584,607,"2014-06-03",2014,"MAV",405,69,3,100,154
"1832",5633,10586,607,"2013-05-30",2013,"CLL",400,71,0,20,150
"1833",5634,10588,607,"2014-06-17",2014,"MAV",562,73,3,10,168
"1834",5635,10590,607,"2012-06-16",2012,"BSS",359,69,1,0,168
