nestID,plot,year,fate,clutch.completion,fledgefail,eggs,fledged,BHCO.eggs,GPS.E,GPS.N
11151,Area 58,2011,FLEDGED,5/8/2011,6/1/2011,4,3,0,633969,4300831
11152,Area 58,2011,failed: pred,5/22/2011,5/27/2011,4,0,0,633989,4300672
11153,East Bogs,2011,failed: pred,5/17/2011,5/19/2011,4,0,0,514208,4293548
11154,Area 27,2011,FLEDGED,5/19/2011,6/15/2011,3,2,0,640517,4317922
11155,Area 27,2011,failed: pred,5/19/2011,6/2/2011,4,0,0,640309,4318065
11156,Area 27,2011,failed: pred,5/20/2011,5/27/2011,4,0,0,640791,4318369
11157,McCormick's Creek State Park,2011,failed: pred,5/16/2011,6/2/2011,4,0,0,524263,4350566
11158,Seed Tick,2011,failed: pred,5/10/2011,5/25/2011,2,0,1,510630,4290024
11159,Sulphur Creek,2011,failed: pred,5/24/2011,6/13/2011,3,0,0,522722,4303518
11160,Sulphur Creek,2011,failed: pred,5/22/2011,5/31/2011,4,0,0,522572,4304079
11162,Sulphur Creek,2011,failed: pred,5/19/2011,5/27/2011,4,0,0,522415,4304365
11163,Sulphur Creek,2011,assumed fledged,5/25/2011,6/18/2011,3,3,1,522537,4303531
11164,First Creek,2011,failed: pred,5/15/2011,5/30/2011,4,0,0,508451,4301862
11165,Area 7,2011,FLEDGED,5/9/2011,6/2/2011,4,3,1,635047,4321030
11166,Area 7,2011,assumed fledged,5/14/2011,6/7/2011,4,4,0,634928,4321732
11167,Area 7,2011,failed: abandoned,5/22/2011,5/31/2011,4,0,2,634929,4321042
11168,East Bogs,2011,failed: pred,5/21/2011,5/26/2011,4,0,0,514055,4293250
11169,East Bogs,2011,failed: pred,5/10/2011,6/8/2011,4,0,0,514528,4293621
11170,East Bogs,2011,failed: pred,5/10/2011,5/26/2011,3,0,0,514084,4293908
11171,Martin State Forest,2011,failed: pred,5/18/2011,5/29/2011,3,0,1,511878,4313404
11172,Seed Tick,2011,failed: pred,5/21/2011,6/6/2011,2,0,1,510441,4289716
11173,East Bogs,2011,assumed fledged,5/26/2011,6/19/2011,1,0,1,514580,4293330
11174,East Bogs,2011,failed: unknown,5/22/2011,6/6/2011,4,0,4,513736,4293202
11175,Area 58,2011,failed: pred,5/24/2011,6/7/2011,4,0,3,634062,4300545
11176,Owen-Putnam State Forest,2011,failed: pred,5/26/2011,6/20/2011,3,0,0,512252,4352548
11177,Martin State Forest,2011,FLEDGED,5/22/2011,6/15/2011,3,3,1,512645,4313685
11178,Area 27,2011,assumed fledged,5/18/2011,6/9/2011,4,2,2,640946,4318274
11179,Area 27,2011,FLEDGED,5/15/2011,6/8/2011,6,4,0,640622,4318409
11180,Sulphur Creek,2011,failed: pred,5/21/2011,6/12/2011,3,0,0,522625,4303936
11181,Sulphur Creek,2011,assumed fledged,5/25/2011,6/18/2011,3,2,0,522625,4304273
11182,Sulphur Creek,2011,failed: weather,5/23/2011,5/26/2011,3,0,0,522381,4304120
11183,Sulphur Creek,2011,failed: pred,5/23/2011,5/31/2011,2,0,0,522460,4304127
11184,McCormick's Creek State Park,2011,failed: pred,5/23/2011,5/24/2011,4,0,0,524651,4350042
11185,Martin State Forest,2011,failed: unknown,5/22/2011,6/11/2011,3,0,1,512408,4313846
11186,Martin State Forest,2011,failed: unknown,5/23/2011,5/30/2011,4,0,0,512239,4313735
11187,Martin State Forest,2011,assumed fledged,5/27/2011,6/20/2011,4,2,2,512168,4313793
11188,Martin State Forest,2011,failed: pred,5/23/2011,5/29/2011,4,0,1,512274,4313284
11189,McCormick's Creek State Park,2011,failed: pred,5/12/2011,6/1/2011,1,0,1,524643,4349979
11190,Area 7,2011,failed: abandoned,5/25/2011,5/27/2011,4,0,1,635099,4320970
11191,Area 7,2011,failed: pred,5/13/2011,5/28/2011,4,0,0,635381,4320962
11192,Owen-Putnam State Forest,2011,failed: pred,5/21/2011,5/30/2011,4,0,0,512566,4352957
11193,Owen-Putnam State Forest,2011,failed: pred,5/21/2011,5/31/2011,5,0,0,512693,4352955
11194,Owen-Putnam State Forest,2011,failed: pred,5/19/2011,6/5/2011,4,0,0,512701,4352707
11195,Owen-Putnam State Forest,2011,failed: pred,5/27/2011,6/5/2011,3,0,0,512614,4352623
11196,First Creek,2011,failed: pred,5/27/2011,6/15/2011,4,0,0,508556,4302565
11197,Seed Tick,2011,failed: pred,5/15/2011,6/6/2011,1,0,1,510630,4289700
11198,Area 41,2011,failed: pred,5/29/2011,5/25/2011,4,0,0,641065,4310315
11199,East Bogs,2011,FLEDGED,5/25/2011,6/18/2011,3,3,0,514709,4293723
11200,First Creek,2011,FLEDGED,5/27/2011,6/20/2011,2,2,1,508551,4302524
11201,First Creek,2011,failed: pred,5/30/2011,6/11/2011,3,0,1,508668,4302632
11202,Area 27,2011,failed: pred,5/19/2011,6/11/2011,4,0,0,640363,4318069
11203,Owen-Putnam State Forest,2011,failed: pred,5/27/2011,6/14/2011,4,0,0,512138,4352471
11204,Spring Mill State Park,2011,failed: unknown,5/31/2011,5/31/2011,0,0,0,549748,4286753
11205,Area 27,2011,failed: pred,5/19/2011,6/3/2011,4,0,1,640612,4318133
11206,Sulphur Creek,2011,failed: pred,5/26/2011,6/12/2011,4,0,0,522398,4303727
11207,Sulphur Creek,2011,failed: pred,5/28/2011,6/1/2011,2,0,0,522311,4303532
11209,Area 7,2011,failed: pred,5/28/2011,6/1/2011,4,0,0,635451,4321117
11210,Area 7,2011,failed: pred,5/27/2011,5/28/2011,4,0,0,635028,4321195
