point,date,time,first_det,song,distance
1233,6/17/2014,502,0,1,75
1233,6/16/2012,417,1,1,30
1233,6/16/2012,417,0,0,35
1233,7/4/2014,504,0,1,35
1233,6/17/2013,439,0,1,60
1233,6/17/2013,439,0,1,50
1233,6/17/2014,502,0,1,40
1233,7/4/2014,504,5,1,60
1233,6/3/2014,459,0,1,80
1233,6/19/2014,523,3,1,40
1234,6/29/2013,450,0,1,80
1234,6/15/2013,517,0,1,75
1234,6/6/2014,378,0,1,70
1234,6/16/2014,481,1,0,30
1234,5/30/2012,602,0,1,90
1234,6/18/2014,522,3,1,35
1234,6/18/2014,522,0,1,90
1234,6/16/2014,481,1,1,30
1234,6/18/2014,522,5,1,95
1234,7/1/2014,520,4,1,100
1234,6/14/2012,345,2,1,80
137,6/17/2011,450,3,1,90
137,6/19/2012,476,0,1,40
137,6/19/2012,476,8,0,25
137,7/5/2012,426,0,1,20
137,7/5/2012,426,1,1,35
137,7/6/2011,542,8,1,20
137,6/26/2014,409,0,1,45
137,6/17/2011,450,0,1,85
137,6/25/2014,427,0,1,50
137,7/6/2011,542,0,1,70
137,6/1/2011,503,3,1,80
137,6/17/2011,450,7,1,60
137,6/14/2014,483,0,1,25
137,6/17/2011,450,0,1,25
137,6/3/2012,469,0,1,90
137,7/12/2014,422,6,0,40
138,7/12/2014,399,1,0,15
138,6/3/2012,495,7,1,80
138,6/14/2014,450,0,1,45
138,6/19/2012,456,0,1,80
138,7/6/2011,561,0,1,30
138,6/26/2014,392,0,1,85
138,7/7/2013,542,0,1,20
138,7/6/2011,561,0,1,50
138,6/1/2011,480,7,1,50
138,6/3/2012,495,0,1,75
138,6/26/2014,392,3,1,80
138,6/19/2012,456,8,1,20
138,6/26/2014,392,0,1,25
138,6/1/2011,480,0,1,50
138,7/12/2014,399,0,1,60
138,6/19/2012,456,0,0,30
138,7/6/2011,561,5,1,65
138,7/5/2012,457,0,1,40
138,7/12/2014,399,0,1,100
138,7/5/2012,457,1,1,60
138,6/17/2011,475,5,1,45
138,6/25/2014,447,7,1,35
139,7/6/2011,583,0,1,70
139,7/6/2011,583,1,1,10
139,6/25/2014,405,0,1,95
139,7/7/2013,527,0,1,35
139,6/14/2014,471,9,1,55
139,6/3/2012,486,0,1,90
139,7/6/2011,583,3,1,20
139,6/19/2012,498,0,1,80
139,6/3/2012,486,9,1,55
139,7/5/2012,400,0,1,80
139,6/17/2011,494,0,1,95
